Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Naver Smart Store URL (product.metafields.custom.naver_smart_store_url),색상 (product.metafields.shopify.color-pattern),추천 추가 상품 (product.metafields.shopify--discovery--product_recommendation.complementary_products),관련 제품 (product.metafields.shopify--discovery--product_recommendation.related_products),관련 제품 설정 (product.metafields.shopify--discovery--product_recommendation.related_products_display),검색 제품 상단 노출 (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
americano-cup-and-saucer-아메리카노-컵-앤-소서-300ml-10oz,Americano Cup and Saucer,"<p>A porcelain cup and saucer set for Americano, brewed coffee, and generous daily drinks. The 300ml cup offers a comfortable volume for slow sipping, while the saucer adds a calm and finished feeling to the table. Made in Korea.</p>
<!---->",bunnar,Uncategorized,Cup & Saucer,"",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,29.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0661/9761/8823/files/04s-2.jpg?v=1748482466,1,"bunnar Americano Cup and Saucer — Korean-made Korean ceramic, 300ml / 10oz",false,Americano Cup & Saucer 300ml | bunnar Ceramic Coffeeware — Made in Korea,"The bunnar Americano Cup and Saucer set. 300ml / 10oz ceramic, hand-finished in Korea. Ideal for cafe service, wholesale, and curated gift sets.",https://smartstore.naver.com/bunnar/products/6389390153,,,,,,,kg,,,active
americano-cup-and-saucer-아메리카노-컵-앤-소서-300ml-10oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0661/9761/8823/files/americanocup-s_293eae9b-34e5-46f2-b82b-3304cf281fea.jpg?v=1778072227,2,"bunnar Americano Cup and Saucer — Korean-made Korean ceramic, 300ml / 10oz",,,,,,,,,,,,,,
cafe-standard-cup-카페-스탠다드-컵-250ml-8-5oz,Cafe Standard Cup,"<p>A balanced porcelain cup for everyday coffee service. With a comfortable 250ml volume, it works well for brewed coffee, milk coffee, tea, and daily drinks at home, in cafés, or in the office. Made in Korea.</p>",bunnar,Uncategorized,Standard Cup,"",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,17.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/9761/8823/files/06-2.jpg?v=1748482458,1,"bunnar Cafe Standard Cup — Korean-made Korean ceramic, 250ml / 8.5oz",false,Cafe Standard Cup 250ml | bunnar Ceramic Coffeeware — Made in Korea,"A versatile 250ml / 8.5oz standard cafe cup. Clean form and consistent hand finish, designed to work across espresso, americano and filter coffee service.",https://smartstore.naver.com/bunnar/products/5932206821,,,,,,,g,,,active
cafe-standard-cup-카페-스탠다드-컵-250ml-8-5oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0661/9761/8823/files/06-1.jpg?v=1778480964,2,"",,,,,,,,,,,,,,
cafe-standard-cup-카페-스탠다드-컵-250ml-8-5oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0661/9761/8823/files/06-3.jpg?v=1778480964,3,"",,,,,,,,,,,,,,
cafe-standard-cup-saucer-카페-스탠다드-컵앤-소서-250ml-8-5oz,Cafe Standard Cup & Saucer,"<p>A porcelain cup and saucer set for everyday café service. The 250ml cup is made for brewed coffee, milk coffee, tea, and daily drinks, while the saucer helps create a calm and complete table setting. Made in Korea.</p>",bunnar,Home & Garden > Kitchen & Dining > Tableware > Drinkware > Coffee & Tea Cups,Cup & Saucer,"",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,29.00,30.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/9761/8823/files/06s-2.jpg?v=1748482456,1,"bunnar Cafe Standard Cup and Saucer — Korean-made Korean ceramic, 250ml / 8.5oz",false,Cafe Standard Cup & Saucer 250ml | bunnar Ceramic Coffeeware — Made in Korea,"The bunnar Cafe Standard Cup and Saucer. 250ml / 8.5oz, Korean-made in Korea. A practical and refined set for cafes and wholesale orders.",https://smartstore.naver.com/bunnar/products/5631772160,,,,,,,g,,,active
cafe-standard-cup-saucer-카페-스탠다드-컵앤-소서-250ml-8-5oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0661/9761/8823/files/06-1_ef43fe6c-45b2-4029-a67f-9775fe629d77.jpg?v=1778481019,2,"",,,,,,,,,,,,,,
cafe-standard-cup-saucer-카페-스탠다드-컵앤-소서-250ml-8-5oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0661/9761/8823/files/06-3_8fbd3970-3e3d-4e58-8c08-aca493b12aec.jpg?v=1778481018,3,"",,,,,,,,,,,,,,
espresso-cup-and-saucer-에스프레소-컵-앤-소서-75ml-2-5oz,Espresso Cup and Saucer,"<p>A small porcelain cup and saucer set for espresso and double espresso. The cup is compact and focused, while the saucer is carefully balanced in size and weight for cafés, homes, and workspaces. Designed to stack neatly and sit quietly on the table. Made in Korea.</p>",bunnar,Uncategorized,Cup & Saucer,"",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,20.50,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0661/9761/8823/files/01s-2.jpg?v=1748482453,1,"bunnar Espresso Cup and Saucer set — Korean-made Korean ceramic, 75ml",false,Espresso Cup & Saucer | bunnar Ceramic Coffeeware — Made in Korea,"The bunnar Espresso Cup paired with a matching saucer. 75ml hand-finished ceramic set, designed for specialty cafes. Wholesale and custom orders available.",https://smartstore.naver.com/bunnar/products/5351585527,,,,,,,kg,,,active
espresso-cup-and-saucer-에스프레소-컵-앤-소서-75ml-2-5oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0661/9761/8823/files/01s-1.jpg?v=1778480684,2,"",,,,,,,,,,,,,,
espresso-cup-and-saucer-에스프레소-컵-앤-소서-75ml-2-5oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0661/9761/8823/files/01s-3.jpg?v=1778480684,3,"",,,,,,,,,,,,,,
flat-white-cup-and-saucer-플랫화이트컵-앤-소서-150ml-5oz,Flat White Cup and Saucer,"<p>A porcelain cup and saucer set for flat white, milk coffee, and quiet daily coffee moments. The cup is compact and easy to enjoy, while the saucer is carefully shaped for balance, stacking, and a clean table setting. Made in Korea.</p>",bunnar,Uncategorized,Cup & Saucer,"",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,27.50,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0661/9761/8823/files/02s-2.jpg?v=1748482447,1,"bunnar Flat White Cup and Saucer — Korean-made Korean ceramic, 180ml / 6oz",false,Flat White Cup & Saucer 180ml | bunnar Ceramic Coffeeware — Made in Korea,"The bunnar Flat White Cup with matching saucer. 180ml / 6oz ceramic set, hand-finished in Korea. Ideal for specialty cafe service and gift sets.",https://smartstore.naver.com/bunnar/products/5351576545,,,,,,,kg,,,active
cappuccino-cup-and-saucer-카푸치노-컵-앤-소서-190ml-6-5oz,Cappuccino Cup and Saucer,"<p>A porcelain cup and saucer set for cappuccino, hand-drip coffee, and everyday café service. The 190ml cup offers a comfortable daily volume, while the saucer brings a clean, composed feeling to the table. Made in Korea.</p>",bunnar,Uncategorized,Cup & Saucer,"",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,28.50,30.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/9761/8823/files/03s-2.jpg?v=1748482441,1,"bunnar Cappuccino Cup and Saucer — Korean-made Korean ceramic, 190ml / 6.5oz",false,Cappuccino Cup & Saucer 190ml | bunnar Ceramic Coffeeware — Made in Korea,"The bunnar Cappuccino Cup and Saucer set. 190ml / 6.5oz, Korean-made in Korea. Perfect for specialty cafes, wholesale supply, and premium gifting.",https://smartstore.naver.com/bunnar/products/5351558023,,,,,,,g,,,active
cafe-latte-cup-and-saucer-카페라떼-컵-앤-소서-270ml-9oz,Cafe Latte Cup and saucer,"<p>A porcelain cup and saucer set for café latte, milk drinks, tea, and quiet dessert moments. The wide 270ml cup feels open and generous, while the saucer completes the setting for cafés, homes, and slow coffee tables. Made in Korea.</p>
<!---->",bunnar,Uncategorized,Cup & Saucer,"",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,31.00,33.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/9761/8823/files/05s-2.jpg?v=1748482438,1,"bunnar Cafe Latte Cup and Saucer — Korean-made Korean ceramic, 270ml / 9oz",false,Cafe Latte Cup & Saucer 270ml | bunnar Ceramic Coffeeware — Made in Korea,"The bunnar Cafe Latte Cup and Saucer set. 270ml / 9oz, Korean-made in Korea. Designed for specialty cafe service and premium gift sets.",https://smartstore.naver.com/bunnar/products/5351355487,,,,,,,g,,,active
taster-cup-xl-테이스터-컵-xl-400ml-13-5oz,Taster Cup XL,"<p>The largest size in the Taster Cup family. With its open shape and comfortable volume, it works well for hand-drip coffee, tea, and relaxed drinks you want to enjoy slowly. A quiet cup for generous coffee moments. Made in Korea.</p>",bunnar,Uncategorized,Taster Cup,"",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,14.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0661/9761/8823/files/27-2.jpg?v=1748482436,1,"bunnar Taster Cup XL — Korean-made Korean ceramic, 400ml / 13.5oz",false,Taster Cup XL 400ml | bunnar Specialty Coffee Ceramic — Made in Korea,"A generously sized 400ml / 13.5oz taster cup for filter coffee and cupping sessions. Korean-made in Korea with a clean, open form.",https://smartstore.naver.com/bunnar/products/4841293816,,,,,,,kg,,,active
taster-cup-l테이스터-컵-l-300ml-10oz,Taster Cup L,"<p>A generous taster cup designed for hand-drip coffee, tea, and slow coffee moments. The wide, open rim helps the aroma rise and lets each sip feel soft and full. Suitable for cafés, tasting tables, and everyday use at home. Made in Korea.</p>",bunnar,Uncategorized,Taster Cup,"",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,13.50,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0661/9761/8823/files/28-2.jpg?v=1748482429,1,"bunnar Taster Cup L — Korean-made Korean ceramic, 300ml / 10oz",false,Taster Cup L 300ml | bunnar Specialty Coffee Ceramic — Made in Korea,"A 300ml / 10oz large taster cup for specialty coffee service. Wide bowl form with a refined hand finish, made in Korea.",https://smartstore.naver.com/bunnar/products/10375824891,,,,,,,kg,,,active
taster-cup-xs-테이스터-컵-xs-180ml-6oz,Taster Cup XS,"<p>Inspired by the shape of a teacup, the Taster Cup is designed to help you enjoy the aroma and texture of coffee more closely. Its open rim lets coffee spread gently across the palate, making each sip feel fuller and more expressive. The XS size is a quiet cup for small servings, tasting, and everyday coffee moments. Made in Korea.</p>",bunnar,Uncategorized,Taster Cup,"",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,9.50,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0661/9761/8823/files/28-2_515645cf-0862-409f-8ed6-10d53a576dbf.jpg?v=1748482424,1,"bunnar Taster Cup XS — Korean-made Korean ceramic, 180ml / 6oz",false,Taster Cup XS 180ml | bunnar Specialty Coffee Ceramic — Made in Korea,"A compact 180ml / 6oz taster cup for espresso-based tasting. Inspired by tea bowl proportions, Korean-made in Korea with precision surface finish.",https://smartstore.naver.com/bunnar/products/4841288639,,,,,,,kg,,,active
water-cup-워터-컵-200ml-6-5-oz,Water Cup,"<p>A simple porcelain cup with a quiet presence. Designed for water, tea, juice, or small everyday drinks, it sits naturally with other Bunnar pieces on the table. It can also be used as a small desk object for pens or daily tools. Made in Korea.</p>",bunnar,Home & Garden > Kitchen & Dining > Tableware > Drinkware > Coffee & Tea Cups,Water Cup,"180ml, coffeeware",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,11.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/9761/8823/files/46-2.jpg?v=1748482418,1,"bunnar Water Cup — Korean-made Korean ceramic, 200ml / 6.5oz",false,Water Cup 200ml | bunnar Ceramic Tableware — Made in Korea,A 200ml / 6.5oz ceramic water cup with a clean cylindrical form. Korean-made in Korea. Designed to complement the bunnar tableware system.,https://smartstore.naver.com/bunnar/products/4841286345,,,,,,,g,,,active
noodle-bowl-누들-볼-1000ml,Noodle Bowl,"<p>A deep porcelain bowl with a clean, generous form. Designed for noodles, warm soups, rice dishes, and one-bowl meals, it holds heat well and brings a calm presence to the table. Made in Korea.</p>",bunnar,Uncategorized,Bowl,"",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,30.50,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0661/9761/8823/files/49-2.jpg?v=1748482415,1,"bunnar Noodle Bowl — Korean-made Korean ceramic, 1000ml",false,Noodle Bowl 1L | bunnar Ceramic Tableware — Made in Korea,"A generous 1000ml ceramic noodle bowl from bunnar. Deep, wide form designed for noodle dishes and sharing bowls. Korean-made in Korea for restaurant and home use.",https://smartstore.naver.com/bunnar/products/4841282340,,,,,,,kg,,,active
cereal-bowl시리얼-볼-250ml,Cereal Bowl,"<p>A quiet porcelain bowl for cereal, yogurt, fruit, soup, and small everyday meals. Designed with a soft proportion that sits comfortably with cups and plates on the table. Made in Korea.</p>",bunnar,Uncategorized,Bowl,"",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,18.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/9761/8823/files/41-2.jpg?v=1748482409,1,"bunnar Cereal Bowl — Korean-made Korean ceramic, 250ml",false,Cereal Bowl | bunnar Ceramic Tableware — Made in Korea,"A 250ml ceramic bowl for cereal, salad, and everyday use. Clean circular form with a refined hand finish. Part of the bunnar tableware system, made in Korea.",https://smartstore.naver.com/bunnar/products/4841280201,,,,,,,g,,,active
soup-bowl수프-볼-350ml,Soup Bowl,"<p>A low, wide porcelain bowl for soup, salad, rice dishes, and small meals. Its balanced shape feels calm on the table and works well for both everyday dining and light café menus. Made in Korea.</p>
<!---->",bunnar,Uncategorized,Bowl,"",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,18.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0661/9761/8823/files/42-2.jpg?v=1748482406,1,"bunnar Soup Bowl — Korean-made Korean ceramic, 350ml",false,Soup Bowl | bunnar Ceramic Tableware — Made in Korea,"A 350ml ceramic soup bowl with a wide, shallow form. Korean-made in Korea. Part of the bunnar modular tableware system.",https://smartstore.naver.com/bunnar/products/4841171665,,,,,,,kg,,,active
large-side-plate-라지-사이드-플레이트,Large Side Plate,"<p>A larger side plate for shared dishes, salad, baked goods, or individual portions from a main dish. It pairs naturally with the Small Side Plate, creating a quiet and balanced table setting. Made in Korea.</p>
<!---->",bunnar,Uncategorized,Plate,"",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,13.50,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0661/9761/8823/files/44-4.jpg?v=1748482399,1,bunnar Large Side Plate — Korean-made Korean ceramic,false,Large Side Plate | bunnar Ceramic Tableware — Made in Korea,"A large ceramic side plate from bunnar. Refined flat form with consistent surface finish. Part of the modular bunnar tableware system, made in Korea.",https://smartstore.naver.com/bunnar/products/4841166513,,,,,,,kg,,,active
small-side-plate-스몰-사이드-플레이트,Small Side Plate,"<p>A small porcelain side plate with a gentle depth. Made for side dishes, sauces, nuts, fruit, or a small piece of dessert, it is easy to use, clean, and stack in everyday life. Made in Korea.</p>",bunnar,Uncategorized,Plate,"",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,7.00,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0661/9761/8823/files/43-2_d5861e70-2354-48d2-8c21-ed3f840675bc.jpg?v=1748482392,1,bunnar Small Side Plate — Korean-made Korean ceramic,false,Small Side Plate | bunnar Ceramic Tableware — Made in Korea,"A compact ceramic side plate from bunnar. Clean flat form, stackable design. Part of the bunnar tableware system, Korean-made in Korea.",https://smartstore.naver.com/bunnar/products/4841164063,,,,,,,kg,,,active
large-main-plate-메인-요리-큰-접시,Large Main Plate,"<p>A generous porcelain plate for pasta, brunch, salad, steak, roasted vegetables, or fruit. Its raised rim frames food beautifully, while the footed base adds a calm, stable presence to the table. Made in Korea.</p>",bunnar,Uncategorized,Plate,"",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,30.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0661/9761/8823/files/48.jpg?v=1748482384,1,bunnar Large Main Plate — Korean-made Korean ceramic,false,Large Main Plate | bunnar Ceramic Tableware — Made in Korea,"A large ceramic dinner plate from bunnar. Wide, refined form with a precision surface finish. Korean-made in Korea for restaurant supply and premium home dining.",https://smartstore.naver.com/bunnar/products/4841160310,,,,,,,g,,,active
